"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
118	"SOM"	"NORTHWEST SOMERSET"	6	16			2	24	"118 NORTHWEST SOMERSET"
119	"PIS"	"ABBOT"		341			67	408	"119 ABBOT"
119	"PIS"	"BARNARD/EBEEMEE/T4 R9 NWP/WILLIAMSBURG"		88			16	104	"119 BARNARD/EBEEMEE/T4 R9 NWP/WILLIAMSBURG"
119	"PIS"	"BEAVER COVE"		83			18	101	"119 BEAVER COVE"
119	"PIS"	"BOWERBANK"		82			11	93	"119 BOWERBANK"
119	"PIS"	"ELLIOTTSVILLE"		11			5	16	"119 ELLIOTTSVILLE"
119	"PIS"	"GREENVILLE"		923			205	1128	"119 GREENVILLE"
119	"PIS"	"GUILFORD"		634			68	702	"119 GUILFORD"
119	"PIS"	"MILLINOCKET PISCATAQUS TOWNSHIPS"		59			8	67	"119 MILLINOCKET PISCATAQUS TOWNSHIPS"
119	"PIS"	"MONSON"		376			82	458	"119 MONSON"
119	"PIS"	"PARKMAN"		427			71	498	"119 PARKMAN"
